racer_id,racer_name,race_count,win_count,top2_count,top3_count,win_rate,top2_rate,top3_rate,avg_start_timing,last_race_date
3911,鈴木,89,15,33,43,0.168539,0.370787,0.483146,,2026-04-23
3912,川原,73,18,28,37,0.246575,0.383562,0.506849,,2026-05-01
3915,繁野谷,73,11,22,36,0.150685,0.301370,0.493151,,2026-04-30
3918,深井,90,25,48,68,0.277778,0.533333,0.755556,,2026-04-30
3920,正木,69,9,23,37,0.130435,0.333333,0.536232,,2026-04-24
3921,川村,19,3,3,7,0.157895,0.157895,0.368421,,2026-02-04
3922,菅沼,71,3,13,23,0.042254,0.183099,0.323944,,2026-04-23
3928,恵祐,69,6,10,19,0.086957,0.144928,0.275362,,2026-04-28
3929,杢野,60,6,13,22,0.100000,0.216667,0.366667,,2026-04-28
3930,岸本,58,10,21,31,0.172414,0.362069,0.534483,,2026-04-19
3931,黒崎,65,12,26,38,0.184615,0.400000,0.584615,,2026-04-06
3932,池田,62,10,20,25,0.161290,0.322581,0.403226,,2026-04-21
3933,山地,75,10,29,43,0.133333,0.386667,0.573333,,2026-04-25
3934,鋤柄,78,8,19,33,0.102564,0.243590,0.423077,,2026-05-02
3935,岩津,40,3,11,17,0.075000,0.275000,0.425000,,2026-04-24
3939,渡辺,8,2,4,4,0.250000,0.500000,0.500000,,2026-04-10
3940,飯山,94,24,39,56,0.255319,0.414894,0.595745,,2026-04-27
3941,池田,80,27,43,60,0.337500,0.537500,0.750000,,2026-05-02
3942,寺田,69,19,37,44,0.275362,0.536232,0.637681,,2026-04-26
3943,三松,14,0,0,1,0.000000,0.000000,0.071429,,2026-04-25
3944,山口,84,18,36,51,0.214286,0.428571,0.607143,,2026-04-26
3945,橋口,61,4,13,22,0.065574,0.213115,0.360656,,2026-05-02
3946,赤岩,70,18,37,50,0.257143,0.528571,0.714286,,2026-04-26
3947,寺本,74,7,12,27,0.094595,0.162162,0.364865,,2026-05-02
3948,大町,57,3,9,20,0.052632,0.157895,0.350877,,2026-04-30
3949,今出,58,1,10,16,0.017241,0.172414,0.275862,,2026-04-25
3950,石川,67,4,15,29,0.059701,0.223881,0.432836,,2026-04-28
